year,iso3_tp_o,iso3_tp_d,trade_comb,iso3_o,iso3_d,iso3num_o,iso3num_d,dist,contig,comlang_off,gdp_o,gdp_d,fta_wto
1995,COL,EST,0.0,COL,EST,170.0,233.0,10066.0,0.0,0.0,92507275.264,4362191.36,0.0
1995,PAN,GAB,0.0,PAN,GAB,591.0,266.0,9899.0,0.0,0.0,7906100.224,4958845.44,0.0
2010,COL,LAO,0.0,COL,LAO,170.0,418.0,17481.0,0.0,0.0,287018188.8,7181441.024,0.0
1995,PAN,MOZ,0.0,PAN,MOZ,591.0,508.0,12656.0,0.0,0.0,7906100.224,2246791.424,0.0
1995,COL,SVK,0.0041742139,COL,SVK,170.0,703.0,9719.0,0.0,0.0,92507275.264,25733042.176,0.0
2000,COL,NGA,0.0243,COL,NGA,170.0,566.0,8579.0,0.0,0.0,99886579.712,46385995.776,0.0
1995,CRI,ZWE,0.0,CRI,ZWE,188.0,716.0,13000.0,0.0,0.0,11722356.736,7111270.912,0.0
2010,COL,DEU,7.9815474,COL,DEU,170.0,280.0,,,,287018188.8,,
2005,COL,SWE,0.27917302,COL,SWE,170.0,752.0,9690.0,0.0,0.0,146520129.536,389042896.896,0.0
2015,PAN,LUX,0.010968775,PAN,LUX,591.0,442.0,8940.0,0.0,0.0,52132290.56,58048241.664,1.0
2000,COL,IND,0.19932017,COL,IND,170.0,356.0,15556.0,0.0,0.0,99886579.712,476609150.976,0.0
2010,COL,BEN,0.00023829131,COL,BEN,170.0,204.0,8472.0,0.0,0.0,287018188.8,6561782.272,0.0
1995,PAN,ETH,0.0,PAN,ETH,591.0,231.0,12907.0,0.0,0.0,7906100.224,7663994.88,0.0
2000,PAN,TJK,0.0,PAN,TJK,591.0,762.0,13808.0,0.0,0.0,11620500.48,860550.272,0.0
2015,PAN,JOR,0.12440197,PAN,JOR,591.0,400.0,11813.0,0.0,0.0,52132290.56,37517410.304,0.0
2010,COL,EST,0.00027955207,COL,EST,170.0,233.0,10066.0,0.0,0.0,287018188.8,19479013.376,0.0
2015,CRI,BIH,0.0014236212,CRI,BIH,188.0,70.0,10232.0,0.0,0.0,54840102.912,16173806.592,0.0
2000,CRI,TTO,0.025310704,CRI,TTO,188.0,780.0,2472.0,0.0,0.0,15946442.752,8154315.776,0.0
2005,CRI,RWA,0.0,CRI,RWA,188.0,646.0,12702.0,0.0,0.0,19964893.184,2581465.6,0.0
2010,PAN,PAK,0.0,PAN,PAK,591.0,586.0,,,,28814100.48,,
2005,PAN,MDG,0.0036878025,PAN,MDG,591.0,450.0,14230.0,0.0,0.0,15464699.904,5039292.928,0.0
2005,CRI,MDA,0.0,CRI,MDA,188.0,498.0,10886.0,0.0,0.0,19964893.184,2988172.544,0.0
2005,COL,POL,0.025679294,COL,POL,170.0,616.0,9953.0,0.0,0.0,146520129.536,304412033.024,0.0
1995,PAN,NOR,0.19263746,PAN,NOR,591.0,578.0,9162.0,0.0,0.0,7906100.224,148919844.864,0.0
2015,CRI,KOR,6.6920576,CRI,KOR,188.0,410.0,13838.0,0.0,0.0,54840102.912,1382763986.944,0.0
2015,CRI,MAR,0.019639967,CRI,MAR,188.0,504.0,8158.0,0.0,0.0,54840102.912,100593287.168,0.0
2005,COL,LCA,0.65682387,COL,LCA,170.0,662.0,1773.0,0.0,0.0,146520129.536,935463.232,0.0
