"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200791","Jams, jellies, marmalades, purees and pastes; of citrus fruit, being cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","88","false","-1","N/A",,"false","88","false",,"false",,"206","206","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200799","Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.s. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","765","false","-1","N/A",,"false","765","false",,"false",,"2115","2115","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200819","Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","-1","N/A",,"false","3","false",,"false",,"13","13","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200899","Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.s. in heading no. 2008","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4888","false","-1","N/A",,"false","4888","false",,"false",,"20577","20577","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200911","Juice; orange, frozen, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40660839","true","-1","N/A",,"false","40660839","true",,"false",,"53091359","53091359","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200920","Juice; grapefruit, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8430775","true","-1","N/A",,"false","8430775","true",,"false",,"6632951","6632951","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200930","Juice; of single citrus fruit (excluding orange or grapefruit), unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4818","true","-1","N/A",,"false","4818","true",,"false",,"7053","7053","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200940","Juice; pineapple, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42270","true","-1","N/A",,"false","42270","true",,"false",,"31751","31751","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200990","Juices; mixtures, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","79970","true","-1","N/A",,"false","79970","true",,"false",,"59237","59237","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","210111","Extracts, essences and concentrates; of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","760","false","-1","N/A",,"false","760","false",,"false",,"1757","1757","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","210390","Sauces and preparations therefor; mixed condiments and mixed seasonings","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","224071","false","-1","N/A",,"false","224071","false",,"false",,"566732","566732","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","210410","Soups and broths and preparations therefor","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","267","false","-1","N/A",,"false","267","false",,"false",,"1498","1498","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220190","Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","9","false","-1","N/A",,"false","9","true",,"false",,"10","10","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220300","Beer; made from malt","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","540","false","-1","N/A",,"false","540","true",,"false",,"1022","1022","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220410","Wine; sparkling","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1159","false","-1","N/A",,"false","1159","true",,"false",,"15002","15002","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220421","Wine; still, in containers holding 2 litres or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","336","false","-1","N/A",,"false","336","true",,"false",,"3519","3519","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220600","Beverages, fermented; (eg cider, perry, mead)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","462","false","-1","N/A",,"false","462","true",,"false",,"1622","1622","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220820","Spirits obtained by distilling grape wine or grape marc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","11474","false","-1","N/A",,"false","10614","true",,"false",,"197421","197421","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220830","Whiskies","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","133","false","-1","N/A",,"false","123","true",,"false",,"1912","1912","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220840","Rum and tafia","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","5797","false","-1","N/A",,"false","5362","true",,"false",,"40172","40172","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220850","Gin and geneva","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","36","false","-1","N/A",,"false","33","true",,"false",,"177","177","4","false","false",
